TIME,RISE,COUN,ENER,DURATION,AMP,SHEAR STRESS
73.5809802,6,6,2,32,62,1.103413491
74.053977,16,4,2,66,60,1.114525602
74.50779,9,6,2,55,60,1.114473803
74.7811887,3,4,1,23,60,1.115521307
74.9456433,2,4,1,52,56,1.118735596
75.0043302,12,63,188,668,94,1.118735596
75.235116,15,14,7,112,65,1.120943667
75.275365,2,24,21,206,75,1.120943667
75.278954,1,5,1,51,58,1.120943667
75.6608377,1,1,1,51,50,1.132531369
75.670852,8,25,25,259,78,1.132531369
75.9469888,6,8,3,58,61,1.137485224
76.0473918,19,11,8,114,67,1.137485224
76.2907937,6,6,2,51,60,1.139951708
76.377453,4,6,1,44,57,1.141409279
76.678212,7,5,2,37,64,1.142887001
76.682866,5,8,4,85,64,1.142887001
76.7723702,16,9,4,64,62,1.142887001
76.8213012,6,7,3,45,64,1.15015718
77.2310483,448,19,17,552,69,1.153919101
77.3029827,2,12,8,94,68,1.158170551
77.3572737,3,5,1,49,57,1.158170551
77.793856,3,4,1,26,59,1.164697362
78.0098282,14,10,5,91,66,1.169884406
78.0123368,2,8,4,85,59,1.169884406
78.080685,3,18,14,190,69,1.173061531
78.366574,10,18,14,201,73,1.177084735
78.443884,3,19,12,186,69,1.177084735
78.5835257,3,3,1,25,58,1.182578635
78.6006522,3,14,6,107,65,1.182578635
78.6384157,6,23,16,193,76,1.182578635
80.495005,9,9,7,109,67,1.20263501
80.5138217,14,11,6,95,67,1.20263501
80.556139,10,22,18,219,74,1.204943709
80.647294,14,6,1,35,58,1.204943709
80.674858,388,13,7,681,59,1.204943709
80.7436302,148,16,11,281,65,1.204943709
80.7616417,7,15,10,164,71,1.204943709
81.2043032,17,3,1,22,58,1.220767898
81.2884672,3,11,7,87,63,1.220767898
81.787028,3,17,11,182,68,1.225142704
82.3595557,4,4,2,34,59,1.236692699
82.588144,9,15,9,130,70,1.241809093
82.6650303,15,14,8,119,69,1.241809093
82.69648,15,8,3,61,63,1.241809093
82.8384517,15,4,1,36,54,1.246893002
83.351689,22,10,3,76,60,1.257714479
83.5503512,18,5,2,64,56,1.263892161
84.435736,36,10,4,85,62,1.275896502
85.2632817,2,6,1,49,57,1.283603091
85.5566087,19,5,2,54,60,1.295835033
85.8186782,14,7,2,69,59,1.296192054
86.13322,24,12,5,115,60,1.302819344
86.3400267,9,9,4,59,63,1.311595702
86.5809252,15,7,3,72,60,1.318557636
86.973629,2,4,1,25,57,1.320069164
87.191232,7,11,4,80,65,1.31941687
87.4872527,645,11,5,695,65,1.31966065
87.4917758,6,8,4,83,62,1.31966065
87.575729,25,7,3,52,62,1.322594321
87.9761008,3,3,1,13,54,1.333219633
88.1509997,19,5,2,43,59,1.340906187
88.3577313,4,4,2,228,57,1.343312715
88.4403847,14,3,1,37,52,1.343312715
88.994475,3,4,1,27,62,1.351884507
89.1250082,3,1,1,27,50,1.358269331
89.392249,36,9,4,86,60,1.361983436
89.7092897,1,7,2,62,56,1.365098755
90.3575237,3,3,1,23,59,1.382940609
90.360736,2,8,3,88,57,1.382940609
90.4559067,7,35,43,292,82,1.382940609
90.536131,11,34,26,231,76,1.382940609
90.7076797,6,9,6,90,66,1.389773458
91.2211792,4,2,1,50,58,1.40418639
91.4825223,112,18,9,203,67,1.403218513
91.7233928,5,3,1,25,60,1.407846814
91.8814177,476,33,25,675,71,1.413792473
91.911216,236,2,2,237,52,1.413792473
92.2929123,101,10,6,176,67,1.415384128
92.5459432,19,3,1,40,53,1.4205418
92.6125722,2,9,4,97,58,1.431170062
93.0372177,5,5,2,39,62,1.434729876
93.1034347,3,4,1,49,57,1.440248976
93.3436902,16,25,27,226,77,1.442691914
93.5531997,5,9,4,85,63,1.446583693
93.8713567,1,5,1,48,56,1.454860212
94.029994,17,4,1,40,56,1.454860212
94.2409952,6,9,3,58,64,1.465283697
94.4154777,3,12,6,97,65,1.467443523
94.4494112,30,11,6,111,64,1.467443523
94.576724,12,16,11,157,69,1.474222587
95.1310992,28,4,1,40,54,1.48374013
95.1637803,28,1,1,40,50,1.48374013
95.5699702,6,5,2,56,60,1.489947712
95.6104438,6,1,2,56,50,1.489947712
95.629389,19,13,6,101,62,1.489947712
95.7017887,8,9,5,431,61,1.489947712
95.8844687,2,10,5,103,64,1.494645366
96.0479647,3,7,3,174,56,1.494645366
96.1092623,7,9,5,98,65,1.502096048
96.1131557,25,18,14,189,69,1.502096048
96.170054,7,68,151,634,88,1.502096048
96.2649332,3,13,8,110,65,1.502096048
96.3788783,4,10,6,84,68,1.507467406
96.444315,484,8,5,508,61,1.507467406
96.552658,16,7,1,33,59,1.510234029
96.5730897,19,19,14,176,67,1.510234029
96.5786777,5,4,1,29,60,1.510234029
96.794655,20,6,2,55,60,1.510234029
96.9074397,2,8,4,70,61,1.514772635
96.9681,12,4,1,48,56,1.514772635
96.9903172,8,20,13,192,72,1.514772635
97.9889837,4,2,1,53,60,1.531570539
98.3380007,1,11,5,88,60,1.544708708
98.3796047,3,2,1,48,54,1.544708708
98.657103,17,5,1,49,56,1.545381653
98.8075257,17,1,1,49,50,1.553958539
98.931905,5,5,2,57,57,1.553958539
98.9653982,3,5,3,284,60,1.553958539
98.9925117,4,5,2,49,57,1.553958539
98.9966587,3,4,1,52,57,1.553958539
99.213932,34,3,1,35,53,1.560108233
99.460921,3,3,1,31,58,1.561456738
99.5781857,37,24,25,251,73,1.565652622
99.7642222,12,5,1,31,56,1.565652622
99.891866,3,3,1,52,52,1.571372444
99.9350557,3,5,1,27,60,1.571372444
99.984648,37,3,1,41,54,1.571372444
100.116611,3,6,3,53,61,1.571802464
100.2263977,46,34,30,331,79,1.571802464
100.5147392,3,9,5,195,59,1.571443065
100.6720242,10,11,7,106,67,1.580435622
100.7319402,2,8,2,61,60,1.580435622
100.8728087,6,11,7,133,67,1.593863003
100.991056,6,1,7,133,50,1.593863003
101.0414117,3,5,2,30,63,1.593863003
101.0942568,13,3,1,30,57,1.601541956
101.3044563,11,17,14,198,73,1.606670527
101.515148,1,4,1,51,57,1.606670527
101.524303,15,5,1,42,60,1.606670527
101.657627,9,5,1,59,58,1.606438517
101.841705,48,3,1,52,51,1.610747483
101.8849032,3,25,25,209,77,1.610747483
101.96642,2,7,2,60,61,1.610747483
102.362115,6,4,1,26,61,1.624630656
102.4956307,2,13,8,92,65,1.624630656
102.607669,3,4,1,49,54,1.62880847
102.6233472,6,7,3,56,65,1.62880847
102.706454,4,12,4,89,64,1.62880847
102.8537772,8,5,1,31,55,1.632802633
102.8945773,3,3,1,26,58,1.632802633
102.9551997,9,17,12,138,70,1.632802633
103.000312,3,7,2,61,60,1.632802633
103.0837753,4,4,2,50,61,1.638899034
103.1880303,167,2,2,172,54,1.638899034
103.3537272,3,16,10,130,68,1.641336844
103.5641433,2,4,1,26,58,1.64813675
103.838922,5,5,2,31,63,1.65863485
103.9205253,5,2,1,26,55,1.65863485
103.9704898,5,1,1,26,50,1.65863485
104.0332703,5,1,1,26,50,1.65863485
104.2806718,28,21,18,211,69,1.663240118
104.3057133,19,11,5,109,62,1.670788376
104.4678417,2,12,6,97,63,1.670788376
104.6212387,2,3,1,44,52,1.674999873
104.6946493,3,4,1,26,59,1.674999873
104.7363597,3,3,1,30,56,1.674999873
104.7920513,12,7,2,69,54,1.674999873
104.8605473,6,4,1,30,56,1.683389963
104.977768,43,50,96,436,87,1.683389963
105.0297607,6,23,27,311,73,1.683389963
105.0440603,4,3,1,28,57,1.683389963
105.2854933,4,1,1,28,50,1.684413817
105.303279,10,48,70,363,86,1.689033318
105.360534,8,5,2,37,59,1.689033318
105.4161422,3,6,2,58,60,1.689033318
105.4668572,2,4,1,31,54,1.689033318
105.5099583,19,24,24,209,74,1.689033318
105.5863158,14,5,1,48,56,1.697138275
105.626137,14,6,2,60,60,1.697138275
105.8134448,22,3,1,39,55,1.700838478
105.8613267,12,15,10,165,69,1.700838478
105.8776382,15,14,11,171,71,1.700838478
105.936756,2,8,3,96,58,1.700838478
105.987933,3,3,1,23,58,1.700838478
106.0045323,20,17,11,169,68,1.700838478
106.0081807,13,9,4,99,59,1.700838478
106.1381273,14,10,5,74,64,1.711080393
106.4155687,3,4,1,22,55,1.718494578
106.5580028,3,3,1,36,55,1.722442594
106.7185002,6,5,2,37,64,1.722442594
106.730779,2,5,1,25,55,1.722442594
106.8775697,2,11,6,228,59,1.728496985
106.900438,6,7,3,86,63,1.728496985
106.9419262,3,4,1,27,61,1.728496985
107.2062058,2,5,1,37,58,1.736429444
107.4912698,1,5,1,38,55,1.744436812
107.5973962,38,4,1,43,56,1.747649813
108.0533852,30,4,1,38,56,1.746447429
108.088726,3,3,1,23,57,1.746447429
108.138403,2,15,10,127,67,1.746447429
108.3952157,20,9,4,75,61,1.757088006
108.6057137,3,5,2,52,62,1.761333332
108.6698763,3,10,4,94,62,1.761333332
109.040513,6,4,2,52,60,1.768175329
109.076019,11,25,26,199,77,1.771689691
109.2928032,15,7,3,94,57,1.771689691
109.3060092,3,29,35,277,76,1.776649727
109.5631797,23,7,3,76,59,1.786625744
109.631026,2,7,2,55,57,1.786625744
109.6742772,2,7,3,47,64,1.786625744
109.7339648,5,3,1,54,58,1.786625744
109.8614583,2,6,2,52,59,1.791685414
109.88212,8,13,8,109,71,1.791685414
109.9391793,2,6,2,53,58,1.791685414
109.9867862,57,9,3,80,58,1.791685414
110.351104,14,9,4,59,62,1.800982703
110.461131,14,1,4,59,50,1.800982703
110.6109228,14,10,5,94,65,1.802004324
110.7689693,11,5,2,51,60,1.802004324
110.8388378,24,16,11,233,68,1.811553151
